📘 Parameter Change Log
Generated: 2025-07-22T11:22:47

✅ New Parameters (in existing or new classes/distributions):
  [ADDED]     Class: com.nokia.aiosc:VLANTermination, Object: Device-1/Ethernet-1/VLANTermination-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-66, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-67, Parameter: FaultIdn, Value: 'highTemperatureWarning'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-67, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-67, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-68, Parameter: FaultIdn, Value: 'spareRadioAlarm1'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-68, Parameter: MocIdn, Value: 'Radio'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-68, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-69, Parameter: FaultIdn, Value: 'spareNRAlarm5'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-69, Parameter: MocIdn, Value: 'NRCellDU'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-69, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-70, Parameter: FaultIdn, Value: 'aioscOutOfService'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-70, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-70, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-71, Parameter: FaultIdn, Value: 'nodeDiskFull'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-71, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-71, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-72, Parameter: FaultIdn, Value: 'lowNodeAvailableCPU'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-72, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-72, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-73, Parameter: FaultIdn, Value: 'nodeReboot'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-73, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-73, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-74, Parameter: FaultIdn, Value: 'databaseCorruptionDetected'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-74, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-74, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-75, Parameter: FaultIdn, Value: 'gNBOnFreeRunningClock'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-75, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-75, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-76, Parameter: FaultIdn, Value: 'nrRfCalibrationFailure'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-76, Parameter: MocIdn, Value: 'Radio'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-76, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:IPv4Address, Object: Device-1/IP-1/Interface-1/IPv4Address-1, Parameter: IPAddress, Value: '1.1.1.1'
  [ADDED]     Class: com.nokia.aiosc:IPv4Address, Object: Device-1/IP-1/Interface-1/IPv4Address-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:IPv4Address, Object: Device-1/IP-1/Interface-1/IPv4Address-1, Parameter: SubnetMask, Value: '1.1.1.1'
  [ADDED]     Class: com.nokia.aiosc:IPv6Address, Object: Device-1/IP-1/Interface-1/IPv6Address-1, Parameter: SparePara2, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:IPv6Address, Object: Device-1/IP-1/Interface-1/IPv6Address-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:ManagementServer, Object: Device-1/ManagementServer-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:NRCellCU, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1, Parameter: ObjectInstance, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:NRCellCU, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1, Parameter: ObjectClass, Value: 'RNCFunction'
  [ADDED]     Class: com.nokia.aiosc:DrxConfigAnrSpecific, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1, Parameter: DrxConfigAnrSpecific_CP, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:DrxConfigAnrSpecific, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:DrxConfigDataSpecific, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigDataSpecific-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:DrxConfigInterRatAnrSpecific, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigInterRatAnrSpecific-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: AdjacentCell, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: CellIndividualOffset, Value: 'DB0'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: EUtranFreqRelationRef, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: Id, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: IsENDCAllowed, Value: 'NO'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: IsHOAllowedn, Value: 'yes'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: QOffset, Value: 'DB0'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:EUtranCellRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1, Parameter: TCI, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: AllowedMeasBandwidth, Value: 'mbw6'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: BlackListEntryId, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: BlackListEntryIdleModeNumberOfEntries, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: BlackListEntryNumberOfEntries, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: CellIndividualOffset, Value: 'DB_24'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: CellReselectionPriority, Value: '7'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: CellReselectionSubPriority, Value: 'odot6'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: EUtranFrequencyRef, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: EutrapresenceAntennaPort1, Value: 'false'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: Id, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: PMax, Value: '23'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: QOffsetFreq, Value: 'DB0'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: QQualMin, Value: '0'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: QRxLevMin, Value: '-140'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: TReselectionEutra, Value: '0'
  [ADDED]     Class: com.nokia.aiosc:EUtranFreqRelation, Object: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1, Parameter: TReselectionEutraSfHigh, Value: '25'
