Parameter Changes Between 2024 and 2025
[NEW] com.nokia.aiosc:DrxConfigAnrSpecific :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1 -> DrxConfigAnrSpecific_CP
[NEW] com.nokia.aiosc:DrxConfigAnrSpecific :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1 -> SparePara1
[NEW] com.nokia.aiosc:DrxConfigDataSpecific :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigDataSpecific-1 -> SparePara1
[NEW] com.nokia.aiosc:DrxConfigInterRatAnrSpecific :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigInterRatAnrSpecific-1 -> SparePara1
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> AdjacentCell
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> IsHOAllowedn
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> TCI
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> Id
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> EUtranFreqRelationRef
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> SparePara1
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> QOffset
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> CellIndividualOffset
[NEW] com.nokia.aiosc:EUtranCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1 -> IsENDCAllowed
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> TReselectionEutra
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> AllowedMeasBandwidth
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> Id
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> BlackListEntryNumberOfEntries
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> ThreshXLowP
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> TReselectionEutraSfMedium
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> QOffsetFreq
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> PMax
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> TReselectionEutraSfHigh
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> BlackListEntryIdleModeNumberOfEntries
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> CellIndividualOffset
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> ThreshXHighQ
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> CellReselectionPriority
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> EutrapresenceAntennaPort1
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> BlackListEntryId
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> CellReselectionSubPriority
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> QQualMin
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> SparePara1
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> ThreshXLowQ
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> EUtranFrequencyRef
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> QRxLevMin
[NEW] com.nokia.aiosc:EUtranFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1 -> ThreshXHighP
[NEW] com.nokia.aiosc:BlackListEntryEUtran :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryEUtran-1 -> BlackListEntryValue
[NEW] com.nokia.aiosc:BlackListEntryEUtran :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryEUtran-1 -> SparePara1
[NEW] com.nokia.aiosc:BlackListEntryIdleModeEUtran :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryIdleModeEUtran-1 -> SpareParam1
[NEW] com.nokia.aiosc:BlackListEntryIdleModeEUtran :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryIdleModeEUtran-1 -> BlackListEntryIdleModeValue
[NEW] com.nokia.aiosc:EUtranFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1 -> EarfcnDL
[NEW] com.nokia.aiosc:EUtranFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1 -> Id
[NEW] com.nokia.aiosc:EUtranFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1 -> MultiBandInfoListEutraNumberOfEntries
[NEW] com.nokia.aiosc:EUtranFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1 -> SparePara1
[NEW] com.nokia.aiosc:MultiBandInfoListEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1/MultiBandInfoListEutra-1 -> MultiBandInfoListEutraValue
[NEW] com.nokia.aiosc:MultiBandInfoListEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1/MultiBandInfoListEutra-1 -> SparePara1
[NEW] com.nokia.aiosc:EmergencyAreaId :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EmergencyAreaId-1 -> SparePara1
[NEW] com.nokia.aiosc:MeasObject :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1 -> SparePara1
[NEW] com.nokia.aiosc:MeasEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1 -> MeasObjectEutraNumberOfEntries
[NEW] com.nokia.aiosc:MeasEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1 -> SparePara1
[NEW] com.nokia.aiosc:MeasObjectEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1/MeasObjectEutra-1 -> MeasObjectEutraId
[NEW] com.nokia.aiosc:MeasObjectEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1/MeasObjectEutra-1 -> WidebandRSRQMeas
[NEW] com.nokia.aiosc:MeasObjectEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1/MeasObjectEutra-1 -> EutraOffsetRange
[NEW] com.nokia.aiosc:MeasObjectEutra :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1/MeasObjectEutra-1 -> SparePara1
[NEW] com.nokia.aiosc:MeasObjectNr :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1 -> SparePara1
[NEW] com.nokia.aiosc:AbsThreshCsiRsConsolidation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshCsiRsConsolidation-1 -> SpareParam1
[NEW] com.nokia.aiosc:AbsThreshSsBlocksConsolidation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshSsBlocksConsolidation-1 -> SpareParam1
[NEW] com.nokia.aiosc:CellIndividualOffsetVS :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/CellIndividualOffsetVS-1 -> SpareParam1
[NEW] com.nokia.aiosc:OffsetMOVS :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/OffsetMOVS-1 -> SparePara1
[NEW] com.nokia.aiosc:NRCellRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1 -> Id
[NEW] com.nokia.aiosc:CellIndividualOffset :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1/CellIndividualOffset-1 -> SparePara1
[NEW] com.nokia.aiosc:NRFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1 -> SparePara1
[NEW] com.nokia.aiosc:NRFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1 -> BlackListEntryNumberOfEntries
[NEW] com.nokia.aiosc:NRFreqRelation :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1 -> BlackListEntryIdleModeNumberOfEntries
[NEW] com.nokia.aiosc:BlackListEntry :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntry-1 -> BlackListEntryValue
[NEW] com.nokia.aiosc:BlackListEntry :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntry-1 -> SparePara1
[NEW] com.nokia.aiosc:BlackListEntryIdleMode :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntryIdleMode-1 -> BlackListEntryIdleModeValue
[NEW] com.nokia.aiosc:BlackListEntryIdleMode :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntryIdleMode-1 -> SparePara1
[NEW] com.nokia.aiosc:OffsetMO :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/OffsetMO-1 -> SparePara1
[NEW] com.nokia.aiosc:NRFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1 -> UserLabel
[NEW] com.nokia.aiosc:NRFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1 -> ObjectInstance
[NEW] com.nokia.aiosc:NRFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1 -> ObjectClass
[NEW] com.nokia.aiosc:NRFrequency :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1 -> SparePara1
[NEW] com.nokia.aiosc:MultiFrequencyBandListNR :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1/MultiFrequencyBandListNR-1 -> MultiFrequencyBandListNR_CP
[NEW] com.nokia.aiosc:MultiFrequencyBandListNR :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1/MultiFrequencyBandListNR-1 -> SparePara1
[NEW] com.nokia.aiosc:QuantityConfigNR :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1 -> QuantityConfigRefId
[NEW] com.nokia.aiosc:QuantityConfigNR :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1 -> SparePara1
[NEW] com.nokia.aiosc:CsiRSFilterConfig :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigCell-1/CsiRSFilterConfig-1 -> SparePara1
[NEW] com.nokia.aiosc:SsbFilterConfig :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigCell-1/SsbFilterConfig-1 -> SparePara1
[NEW] com.nokia.aiosc:QuantityConfigRSIndex :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1 -> QuantityConfigRSIndex_CP
[NEW] com.nokia.aiosc:CsiRSFilterConfigQConfigRSI :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/CsiRSFilterConfigQConfigRSI-1 -> FilterCoefficientRSRQ
[NEW] com.nokia.aiosc:CsiRSFilterConfigQConfigRSI :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/CsiRSFilterConfigQConfigRSI-1 -> FilterCoefficientRSSINR
[NEW] com.nokia.aiosc:CsiRSFilterConfigQConfigRSI :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/CsiRSFilterConfigQConfigRSI-1 -> FilterCoefficientRSRP
[NEW] com.nokia.aiosc:SsbFilterConfigRSIndex :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/SsbFilterConfigRSIndex-1 -> FilterCoefficientRSRPn
[NEW] com.nokia.aiosc:SsbFilterConfigRSIndex :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/SsbFilterConfigRSIndex-1 -> FilterCoefficientRSRQn
[NEW] com.nokia.aiosc:SsbFilterConfigRSIndex :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/SsbFilterConfigRSIndex-1 -> FilterCoefficientRSSINRn
[NEW] com.nokia.aiosc:RRMPolicyRatio2 :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/RRMPolicyRatio2-1 -> SparePara1
[NEW] com.nokia.aiosc:ReportConfigInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1 -> SparePara2
[NEW] com.nokia.aiosc:ReportConfigInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1 -> SparePara1
[NEW] com.nokia.aiosc:ReportCfgNr :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1 -> SparaPara1
[NEW] com.nokia.aiosc:EventReportList :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1 -> SparePara1
[NEW] com.nokia.aiosc:A3EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1 -> AnrA3NormalThresholdOffset
[NEW] com.nokia.aiosc:A3EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1 -> AnrIntraAggressivePeriod
[NEW] com.nokia.aiosc:A3EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1 -> AnrA3AggressiveThreshOffset
[NEW] com.nokia.aiosc:A3EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1 -> AnrIntraNormalPeriod
[NEW] com.nokia.aiosc:A4EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1 -> AnrInterNormalPeriod
[NEW] com.nokia.aiosc:A4EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1 -> AnrA4AggressiveThreshold
[NEW] com.nokia.aiosc:A4EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1 -> AnrA4NormalThreshold
[NEW] com.nokia.aiosc:A4EventInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1 -> AnrInterAggressivePeriod
[NEW] com.nokia.aiosc:ReportConfigInterRAT :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1 -> SparePara1
[NEW] com.nokia.aiosc:CellReselectionInfoCommon :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionInfoCommon-1 -> SparePara1
[NEW] com.nokia.aiosc:AbsThreshSsBlocksConsolSib2 :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionInfoCommon-1/AbsThreshSsBlocksConsolSib2-1 -> SpareParam1
[NEW] com.nokia.aiosc:CellReselectionServingFreqInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1 -> SparePara1
[NEW] com.nokia.aiosc:NrMultiBandInfos :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1/NrMultiBandInfos-1 -> SparePara1
[NEW] com.nokia.aiosc:SIntraSearchQ :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/SIntraSearchQ-1 -> SparePara1
[NEW] com.nokia.aiosc:SpeedScaleFactors :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/SpeedScaleFactors-1 -> SparePara1
[NEW] com.nokia.aiosc:SrbCfg :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/SrbCfg-1 -> SparePara1
[NEW] com.nokia.aiosc:NRCellDU :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1 -> IsExtN77BandEnabled
[NEW] com.nokia.aiosc:NRCellDU :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1 -> IsMFBISupportEnabled
[NEW] com.nokia.aiosc:CfgCmn :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CfgCmn-1 -> SparePara1
[NEW] com.nokia.aiosc:CsiRsCfgInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1 -> IsTRSEnable
[NEW] com.nokia.aiosc:MultiBandInfo :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/MultiBandInfo-1 -> SparePara1
[NEW] com.nokia.aiosc:NrNsPmaxVal :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/MultiBandInfo-1/NrNsPmaxVal-1 -> AdditionalSpectrumEmission
[NEW] com.nokia.aiosc:NrNsPmaxVal :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/MultiBandInfo-1/NrNsPmaxVal-1 -> PMax
